ID	Super_Kingdom	Group	GC_Content	Gram_Stain	Shape	Arrangment	Endospores	Motility	Salinity	Oxygen_Req	Habitat	Temp._range	Pathogenic_in	Disease
39927	Archaea	Crenarchaeota	54.5		Coccus					Anaerobic		Hyperthermophilic		
63297	Bacteria	Actinobacteria												
29525	Bacteria	Actinobacteria	68.3	+	Rod		No			Anaerobic	Specialized	Thermophilic	No	
15753	Bacteria	Alphaproteobacteria	67.1	-	Rod					Aerobic	Multiple	Mesophilic	No	
60101	Bacteria	Alphaproteobacteria												
36585	Bacteria	Gammaproteobacteria	61.4	-	Rod			Yes			Specialized	Thermophilic	No	
63223	Bacteria	Gammaproteobacteria												
61509	Bacteria	Gammaproteobacteria												
53	Bacteria	Gammaproteobacteria	58.8	-	Rod			Yes		Facultative	Multiple	Mesophilic	No	
16689	Bacteria	Other_Bacteria	58.9	-	Spiral		No	Yes		Aerobic	Specialized	Mesophilic	No	
61969	Bacteria	Gammaproteobacteria												
51403	Bacteria	Gammaproteobacteria												
36587	Bacteria	Gammaproteobacteria	52	-	Rod			Yes		Aerobic		Mesophilic		
28085	Bacteria	Acidobacteria	60.5	-	Rod	Singles	No	No		Aerobic	Multiple	Mesophilic	No	
47903	Bacteria	Acidobacteria		-	Rod					Aerobic				
47621	Bacteria	Acidobacteria		-	Rod					Aerobic				
16097	Bacteria	Actinobacteria	66.9	+			Yes			Aerobic	Aquatic	Thermophilic	No	
37867	Bacteria	Betaproteobacteria	68.9	-	Rod		No	Yes	Non-halophilic	Aerobic	Host-associated	Mesophilic	Plant	Bacterial_leaf_blight_of_maize_and_sorghum,brown_stripe_of_rice_and_red_stripe_of_sugarcane
63523	Bacteria	Betaproteobacteria												
15708	Bacteria	Betaproteobacteria	68.5	-	Rod		No	Yes	Non-halophilic	Aerobic	Multiple	Mesophilic	Fruit	Bacterial_fruit_blotch
32605	Bacteria	Betaproteobacteria	65.0	-	Rod		No	Yes		Aerobic	Aquatic	Mesophilic	No	
29975	Bacteria	Betaproteobacteria	66.8	-	Rod			Yes		Facultative	Aquatic	Mesophilic	No	
64465	Bacteria	Betaproteobacteria												
64471	Bacteria	Betaproteobacteria												
15685	Bacteria	Betaproteobacteria	66.1	-	Rod		No	Yes		Aerobic	Terrestrial	Mesophilic	No	
39849	Bacteria	Betaproteobacteria		-	Rod	Singles,Short_chains		Yes		Aerobic		Mesophilic		
38403	Archaea	Euryarchaeota	39.2		Coccus			Yes		Anaerobic	Aquatic	Thermophilic	No	
19277	Archaea	Euryarchaeota	39.2		Coccus			Yes	Mesophilic	Anaerobic	Specialized	Thermophilic	No	
13000	Bacteria	Gammaproteobacteria		-	Pleomorphic_rod				Non-halophilic	Aerobic	Aquatic	Mesophilic	Human	Nosocomial_infections,nosocomial_pneumonia
42153	Bacteria	Gammaproteobacteria		-	Pleomorphic_rod	Singles	No	No			Multiple	Mesophilic	Human	Nosocomial_infections,nosocomial_pneumonia
52397	Bacteria	Gammaproteobacteria												
52395	Bacteria	Gammaproteobacteria												
52399	Bacteria	Gammaproteobacteria												
33017	Bacteria	Gammaproteobacteria	38.9	-	Coccus	Pairs		No		Aerobic	Host-associated	Mesophilic		
33071	Bacteria	Gammaproteobacteria	38.9	-		Pairs		No		Aerobic	Host-associated	Mesophilic		
33073	Bacteria	Gammaproteobacteria	39.0	-	Coccus	Pairs		No		Aerobic	Host-associated	Mesophilic		
60111	Bacteria	Gammaproteobacteria												
53475	Bacteria	Gammaproteobacteria												
21111	Bacteria	Gammaproteobacteria	39.2	-	Pleomorphic_rod	Singles	No	No		Aerobic	Multiple	Mesophilic	Human	Nosocomial_infections,nosocomial_pneumonia
43427	Bacteria	Gammaproteobacteria	39.1	-	Pleomorphic_rod		No	No				Mesophilic	Human	Nosocomial_infections
43429	Bacteria	Gammaproteobacteria	39.1	-	Pleomorphic_rod		No	No				Mesophilic	Human	Nosocomial_infections
43431	Bacteria	Gammaproteobacteria	39.2	-	Pleomorphic_rod		No	No				Mesophilic	Human	Nosocomial_infections
52391	Bacteria	Gammaproteobacteria												
52393	Bacteria	Gammaproteobacteria												
30993	Bacteria	Gammaproteobacteria	39.0	-	Pleomorphic_rod					Aerobic	Multiple	Mesophilic	Human	Nosocomial_infections,nosocomial_pneumonia
30995	Bacteria	Gammaproteobacteria	38.9	-	Pleomorphic_rod					Aerobic	Multiple	Mesophilic	Human	
63335	Bacteria	Gammaproteobacteria												
63337	Bacteria	Gammaproteobacteria												
63339	Bacteria	Gammaproteobacteria												
63341	Bacteria	Gammaproteobacteria												
17827	Bacteria	Gammaproteobacteria	38.9	-	Pleomorphic_rod				Non-halophilic	Aerobic	Aquatic	Mesophilic	Human	Nosocomial_infections,nosocomial_pneumonia
17477	Bacteria	Gammaproteobacteria	38.9	-	Pleomorphic_rod	Singles	No	No		Aerobic	Multiple	Mesophilic	Human	Nosocomial_infections,nosocomial_pneumonia
38509	Bacteria	Gammaproteobacteria	39.1	-	Pleomorphic_rod		No	No		Aerobic		Mesophilic	Human	Nosocomial_infections
28921	Bacteria	Gammaproteobacteria	39.3	-	Pleomorphic_rod					Aerobic	Aquatic	Mesophilic	Human	Nosocomial_infections,nosocomial_pneumonia
53389	Bacteria	Gammaproteobacteria												
53447	Bacteria	Gammaproteobacteria												
61919	Bacteria	Gammaproteobacteria												
53423	Bacteria	Gammaproteobacteria												
53397	Bacteria	Gammaproteobacteria												
53421	Bacteria	Gammaproteobacteria												
53409	Bacteria	Gammaproteobacteria												
53411	Bacteria	Gammaproteobacteria												
53427	Bacteria	Gammaproteobacteria												
52959	Bacteria	Gammaproteobacteria												
28333	Bacteria	Gammaproteobacteria		-	Pleomorphic_rod					Aerobic	Aquatic	Mesophilic	Human	Nosocomial_infections,nosocomial_pneumonia
53439	Bacteria	Gammaproteobacteria												
53407	Bacteria	Gammaproteobacteria												
53391	Bacteria	Gammaproteobacteria												
53393	Bacteria	Gammaproteobacteria												
53443	Bacteria	Gammaproteobacteria												
53445	Bacteria	Gammaproteobacteria												
53453	Bacteria	Gammaproteobacteria												
53415	Bacteria	Gammaproteobacteria												
53473	Bacteria	Gammaproteobacteria												
53395	Bacteria	Gammaproteobacteria												
53441	Bacteria	Gammaproteobacteria												
53417	Bacteria	Gammaproteobacteria												
53413	Bacteria	Gammaproteobacteria												
53457	Bacteria	Gammaproteobacteria												
53379	Bacteria	Gammaproteobacteria												
53451	Bacteria	Gammaproteobacteria												
53467	Bacteria	Gammaproteobacteria												
53465	Bacteria	Gammaproteobacteria												
53401	Bacteria	Gammaproteobacteria												
53381	Bacteria	Gammaproteobacteria												
53459	Bacteria	Gammaproteobacteria												
53403	Bacteria	Gammaproteobacteria												
53461	Bacteria	Gammaproteobacteria												
53383	Bacteria	Gammaproteobacteria												
53419	Bacteria	Gammaproteobacteria												
53471	Bacteria	Gammaproteobacteria												
53377	Bacteria	Gammaproteobacteria												
53385	Bacteria	Gammaproteobacteria												
53405	Bacteria	Gammaproteobacteria												
53387	Bacteria	Gammaproteobacteria												
53469	Bacteria	Gammaproteobacteria												
13001	Bacteria	Gammaproteobacteria	39.1	-	Pleomorphic_rod				Non-halophilic	Aerobic	Aquatic	Mesophilic	Human	Nosocomial_infections,nosocomial_pneumonia
62279	Bacteria	Gammaproteobacteria												
60843	Bacteria	Gammaproteobacteria												
60845	Bacteria	Gammaproteobacteria												
60847	Bacteria	Gammaproteobacteria												
62419	Bacteria	Gammaproteobacteria												
62421	Bacteria	Gammaproteobacteria												
29639	Bacteria	Gammaproteobacteria	38.9	-	Pleomorphic_rod	Singles	No	No		Aerobic	Multiple	Mesophilic	Human	Nosocomial_infections,nosocomial_pneumonia
29635	Bacteria	Gammaproteobacteria	38.9	-	Pleomorphic_rod	Singles	No	No		Aerobic	Multiple	Mesophilic	Human	
29633	Bacteria	Gammaproteobacteria	38.9	-	Pleomorphic_rod	Singles	No	No		Aerobic	Multiple	Mesophilic	Human	Nosocomial_infections,nosocomial_pneumonia
53431	Bacteria	Gammaproteobacteria												
53429	Bacteria	Gammaproteobacteria												
53435	Bacteria	Gammaproteobacteria												
53437	Bacteria	Gammaproteobacteria												
53433	Bacteria	Gammaproteobacteria												
53425	Bacteria	Gammaproteobacteria												
53449	Bacteria	Gammaproteobacteria												
53463	Bacteria	Gammaproteobacteria												
61917	Bacteria	Gammaproteobacteria												
62411	Bacteria	Gammaproteobacteria												
62423	Bacteria	Gammaproteobacteria												
51267	Bacteria	Gammaproteobacteria												
38337	Bacteria	Gammaproteobacteria	38.6		Rod		No	No		Aerobic		Mesophilic	Human	Nosocomial_infections
62413	Bacteria	Gammaproteobacteria												
62415	Bacteria	Gammaproteobacteria												
62425	Bacteria	Gammaproteobacteria												
43187	Bacteria	Gammaproteobacteria	39.6	-	Rod	Pairs		No		Aerobic	Host-associated	Mesophilic		
42715	Bacteria	Gammaproteobacteria			Rod	Pairs		No				Mesophilic		
38339	Bacteria	Gammaproteobacteria	41.0		Rod	Pairs		No						
38341	Bacteria	Gammaproteobacteria	38.7	-	Rod			No				Mesophilic	Human	Nosocomial_infections
62417	Bacteria	Gammaproteobacteria												
38343	Bacteria	Gammaproteobacteria	42.6	-	Rod			No		Aerobic		Mesophilic	Human	Nosocomial_infections
62427	Bacteria	Gammaproteobacteria												
62429	Bacteria	Gammaproteobacteria												
38345	Bacteria	Gammaproteobacteria	41.5	-	Rod		No	No		Aerobic		Mesophilic	Human	Nosocomial_infections
34081	Bacteria	Gammaproteobacteria	41.5	-	Rod		No	No		Aerobic		Mesophilic	Human	Nosocomial_infections
53399	Bacteria	Gammaproteobacteria												
12352	Bacteria	Gammaproteobacteria	40.4	-	Coccobacillus	Pairs	No	No	Non-halophilic	Aerobic	Multiple	Mesophilic	Human	Nosocomial_infections_in_immunocompromised_individuals
30949	Bacteria	Gammaproteobacteria	39.4								Host-associated			
46105	Bacteria	Gammaproteobacteria		-	Rod		No	Yes		Aerobic		Mesophilic		
62435	Bacteria	Gammaproteobacteria												
62433	Bacteria	Gammaproteobacteria												
38511	Bacteria	Gammaproteobacteria	38.6	-	Rod			no		Anaerobic	Host-associated	Mesophilic		
41947	Bacteria	Gammaproteobacteria	38.7	-	Rod			No		Anaerobic	Host-associated	Mesophilic		
53455	Bacteria	Gammaproteobacteria												
62431	Bacteria	Gammaproteobacteria												
32531	Bacteria	Gammaproteobacteria	39.3	-	Rod						Host-associated	Mesophilic	No	
36657	Bacteria	Gammaproteobacteria	39.3	-	Rod			No						
198	Bacteria	Gammaproteobacteria	41.4	-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
47291	Bacteria	Gammaproteobacteria		-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
47303	Bacteria	Gammaproteobacteria		-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
47305	Bacteria	Gammaproteobacteria		-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
47307	Bacteria	Gammaproteobacteria		-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
47309	Bacteria	Gammaproteobacteria		-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
49597	Bacteria	Gammaproteobacteria		-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
47293	Bacteria	Gammaproteobacteria		-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
19135	Bacteria	Gammaproteobacteria	41.2	-	Coccobacillus	Singles,Chains			Mesophilic	Facultative	Host-associated		Porcine	Fibrinous_and_necrotizing_pleuropneumonia
47295	Bacteria	Gammaproteobacteria		-	Coccobacillus	Singles,Chains				Anaerobic	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
200	Bacteria	Gammaproteobacteria	37	-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
18221	Bacteria	Gammaproteobacteria	41.3	-	Coccobacillus	Singles,Chains			Non-halophilic	Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
49599	Bacteria	Gammaproteobacteria		-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
47297	Bacteria	Gammaproteobacteria		-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
332	Bacteria	Gammaproteobacteria	37	-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
29909	Bacteria	Gammaproteobacteria	41.2	-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
47299	Bacteria	Gammaproteobacteria		-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
47301	Bacteria	Gammaproteobacteria		-	Coccobacillus	Singles,Chains				Facultative	Host-associated	Mesophilic	Porcine	Fibrinous_and_necrotizing_pleuropneumonia
13370	Bacteria	Gammaproteobacteria	44.9	-	Rod	Singles,Pairs,Chains			Non-halophilic		Host-associated	Mesophilic	No	None
46463	Bacteria	Gammaproteobacteria		-	Rod			No		Facultative		Mesophilic	Porcine	
42159	Bacteria	Gammaproteobacteria		-	Rod			No		Facultative		Mesophilic	Porcine	
52977	Bacteria	Gammaproteobacteria												
52091	Bacteria	Actinobacteria		+							Host-associated	Mesophilic		
52093	Bacteria	Actinobacteria		+							Host-associated	Mesophilic		
53007	Bacteria	Actinobacteria												
31427	Bacteria	Actinobacteria	49.6	+	Rod		No	No		Facultative		Mesophilic		
52095	Bacteria	Actinobacteria		+							Host-associated	Mesophilic		
41559	Bacteria	Actinobacteria		+	Rod		No	No		Facultative		Mesophilic	Human	Eye_infection,Lung_infection,Oral_abscesses,Septicemia
38761	Bacteria	Actinobacteria		+	Rod		No	No		Facultative	Host-associated	Mesophilic	Human	Actinomycosis,Gingivitis,Periodontal_infection
52097	Bacteria	Actinobacteria		+							Host-associated	Mesophilic		
41561	Bacteria	Actinobacteria		+	Rod		No	No		Facultative	Host-associated	Mesophilic	Human	Eye_infection,Lung_infection,Oral_abscesses,Septicemia
12510	Bacteria	Actinobacteria		+						Anaerobic	Multiple	Mesophilic	Human	Actinomycosis_and_gingivitis
52975	Bacteria	Actinobacteria		+							Host-associated	Mesophilic		
18171	Bacteria	Actinobacteria	65.5	+	Rod		No	No		Facultative	Host-associated	Mesophilic	Human	Oral_abscesses,septicemia,eye_and_lung_infections
38741	Bacteria	Actinobacteria		+	Rod		No	No		Facultative		Mesophilic	Human	Eye_infection,Lung_infection,Oral_abscesses,Septicemia
38309	Bacteria	Actinobacteria	65.2	+	Rod		No	No		Facultative		Mesophilic	Human	Eye_infection,Lung_infection,Oral_abscesses,Septicemia
51265	Bacteria	Actinobacteria												
48493	Bacteria	Actinobacteria		+	Rod		No	No		Facultative	Host-associated	Mesophilic		
43131	Bacteria	Actinobacteria			Rod		No	No		Facultative	Host-associated	Mesophilic		
61829	Bacteria	Actinobacteria												
53009	Bacteria	Actinobacteria												
53011	Bacteria	Actinobacteria												
53017	Bacteria	Actinobacteria												
38311	Bacteria	Actinobacteria	64.4	+	Rod		No	No		Facultative	Host-associated	Mesophilic	Human	Septicemia,Eye_infection,Lung_infection,Oral_abscesses
39355	Bacteria	Actinobacteria		+	Rod		No	No	Mesophilic	Anaerobic				Periodontal_infection,Actinomycosis,Gingivitis
52101	Bacteria	Actinobacteria		+							Host-associated	Mesophilic		
31429	Bacteria	Actinobacteria	68.7	+	Rod		No	No		Facultative	Host-associated	Mesophilic		
38743	Bacteria	Actinobacteria	68.6	+	Rod		No	No		Anaerobic	Host-associated	Mesophilic		Actinomycosis,Gingivitis,Periodontal_infection
29027	Bacteria	Actinobacteria			Filaments		Yes			Aerobic		Mesophilic		
21079	Bacteria	Actinobacteria	70.8	+	Filament	Filaments	Yes	No		Aerobic	Terrestrial	Mesophilic	No	
50863	Bacteria	Actinobacteria												
19705	Bacteria	Actinobacteria	73.7	+							Terrestrial	Mesophilic		
46631	Bacteria	Bacteroidetes/Chlorobi		-	Rod			No		Aerobic				
31431	Bacteria	Firmicutes		+	Cocci	Pairs	No	No		Microaerophilic	Host-associated	Mesophilic		
50155	Bacteria	Gammaproteobacteria												
51073	Bacteria	Firmicutes		+	Coccus	Pairs	No	No		Anaerobic		Mesophilic		
38729	Bacteria	Firmicutes	39.5	+	Cocci	Pairs	No	No		Microaerophilic	Host-associated	Mesophilic		
34545	Bacteria	Actinobacteria	71.1	+	Cocci					Microaerophilic	Multiple	Mesophilic		
51677	Bacteria	Gammaproteobacteria												
16697	Bacteria	Gammaproteobacteria	61.5	-	Rod	Singles,Pairs,Chains		Yes		Facultative	Multiple	Mesophilic	Animal	Gastroenteritis,septicemia,and_others
16723	Bacteria	Gammaproteobacteria	58.2	-	Rod			Yes		Facultative	Aquatic	Mesophilic	Fish	Furunculosis
63671	Bacteria	Gammaproteobacteria												
211	Archaea	Crenarchaeota	56.3		Coccus	Singles	No	Yes	Mesophilic	Aerobic	Specialized	Hyperthermophilic	No	
52155	Bacteria	Alphaproteobacteria		+							Host-associated	Mesophilic		
52157	Bacteria	Alphaproteobacteria		+							Host-associated	Mesophilic		
52159	Bacteria	Alphaproteobacteria		+							Host-associated	Mesophilic		
47055	Bacteria	Alphaproteobacteria		-	Rod			Yes						
47337	Bacteria	Gammaproteobacteria		-	Rod			No		Facultative	Host-associated	Mesophilic	Human	periodontitis
40107	Bacteria	Gammaproteobacteria	44.3	-	Rod			No					Human	periodontitis
47335	Bacteria	Gammaproteobacteria		-	Rod			No		Facultative	Host-associated	Mesophilic	Human	periodontitis
47331	Bacteria	Gammaproteobacteria		-	Rod			No		Facultative	Host-associated	Mesophilic	Human	periodontitis
41903	Bacteria	Gammaproteobacteria	44.3	-	rod			No			Host-associated	Mesophilic	Human	periodontitis
32179	Bacteria	Gammaproteobacteria		-	Rod					Facultative	Host-associated	Mesophilic	Human	Periodontitis
53925	Bacteria	Gammaproteobacteria												
53939	Bacteria	Gammaproteobacteria												
53937	Bacteria	Gammaproteobacteria												
53941	Bacteria	Gammaproteobacteria												
53927	Bacteria	Gammaproteobacteria												
53929	Bacteria	Gammaproteobacteria												
53933	Bacteria	Gammaproteobacteria												
53935	Bacteria	Gammaproteobacteria												
62995	Bacteria	Gammaproteobacteria												
40689	Bacteria	Gammaproteobacteria		-	Rod	Singles,Pairs,Chains		No		Facultative	Host-associated	Mesophilic	Human	
36579	Bacteria	Gammaproteobacteria	42.2	-	Rod			No		Facultative	Host-associated	Mesophilic		
53019	Bacteria	Gammaproteobacteria												
13402	Bacteria	Alphaproteobacteria	59.9	-	Rod	Singles,Pairs		Yes	Non-halophilic	Aerobic	Terrestrial	Mesophilic	No	None
48083	Bacteria	Alphaproteobacteria												
50341	Bacteria	Alphaproteobacteria						Yes			Host-associated			
283	Bacteria	Alphaproteobacteria	59.0	-	Rod	Singles,Pairs		Yes		Aerobic	Multiple	Mesophilic	Plant	Tumors
13372	Bacteria	Alphaproteobacteria	57.5	-	Rod	Singles		Yes		Aerobic	Multiple	Mesophilic	Grape_vines	Crown_gall
46493	Bacteria	Alphaproteobacteria		-	Rod		No	Yes		Aerobic	Aquatic	Mesophilic		
20089	Bacteria	Other_Bacteria	55.8	-	Oval	Singles,Pairs	No	No		Anaerobic	Host-associated	Mesophilic	No	
13005	Bacteria	Gammaproteobacteria	54.7	-	Rod			No	Moderate_halophilic	Aerobic	Aquatic	Mesophilic	No	None
60443	Bacteria	Gammaproteobacteria												
19279	Bacteria	Gammaproteobacteria	58.2	-	Rod			No	Moderate_halophilic	Aerobic	Aquatic	Mesophilic	No	
51917	Bacteria	Gammaproteobacteria												
18947	Bacteria	Bacteroidetes/Chlorobi	38.7										No	
41663	Bacteria	Betaproteobacteria		-	Rod		No	Yes		Facultative	Aquatic	Mesophilic	No	
50751	Bacteria	Betaproteobacteria												
30381	Bacteria	Firmicutes	61.7	+	Rod		Yes			Aerobic	Specialized	Thermophilic	No	
29405	Bacteria	Firmicutes	61.9	+	Rod		Yes	No		Aerobic	Specialized	Thermophilic	No	
30703	Bacteria	Gammaproteobacteria	39.0	-	Rod		No	Yes		Facultative	Aquatic	Psychrophilic	Fis	Hitra_disease
40775	Bacteria	Bacteroidetes/Chlorobi	57	-	Rod	Singles	No	No		Anaerobic		Mesophilic		
46373	Bacteria	Bacteroidetes/Chlorobi		-	Rod		No	No		Anaerobic	Host-associated	Mesophilic		
19655	Bacteria	Bacteroidetes/Chlorobi	53.3	-	Rod		No	No		Anaerobic	Multiple	Mesophilic	Human,Sheep	Appendicitis,abscesses,ovine_foot_rot
45913	Bacteria	Bacteroidetes/Chlorobi		-	Rod		No	No		Anaerobic	Host-associated	Mesophilic		
41949	Bacteria	Bacteroidetes/Chlorobi		-	Rod		No	No		Anaerobic	Host-associated	Mesophilic		
39997	Bacteria	Bacteroidetes/Chlorobi		-	Rod		No	No		Anaerobic	Host-associated	Mesophilic		
39995	Bacteria	Bacteroidetes/Chlorobi		-	Rod		No	No		Anaerobic	Host-associated	Mesophilic		
54031	Bacteria	Bacteroidetes/Chlorobi												
63507	Bacteria	Bacteroidetes/Chlorobi												
15763	Bacteria	Gammaproteobacteria	67.5							Facultative	Aquatic		No	
13006	Bacteria	Firmicutes	36.8						Moderate_halophilic			Mesophilic	No	None
16083	Bacteria	Firmicutes	36.3	+	Rod		Yes			Anaerobic	Aquatic	Mesophilic	No	
32547	Bacteria	Gammaproteobacteria	64.2	-	Rod		No	Yes		Facultative	Aquatic	Mesophilic	No	
52161	Bacteria	Firmicutes		+							Host-associated	Mesophilic		
18465	Bacteria	Gammaproteobacteria	39.7										No	
65401	Bacteria	Gammaproteobacteria												
65403	Bacteria	Gammaproteobacteria												
65405	Bacteria	Gammaproteobacteria												
65407	Bacteria	Gammaproteobacteria												
13374	Bacteria	Gammaproteobacteria	44.9	-	Rod			Yes		Aerobic	Aquatic	Mesophilic	No	
29793	Bacteria	Gammaproteobacteria	44.7	-	Rod		No	Yes		Aerobic	Aquatic	Mesophilic	No	
46509	Bacteria	Gammaproteobacteria		-	Rod		No	Yes		Aerobic	Aquatic	Mesophilic	No	
50031	Bacteria	Gammaproteobacteria									Aquatic	Mesophilic		
59947	Bacteria	Gammaproteobacteria												
32587	Bacteria	Other_Bacteria	45.3	-	Rod	Singles,Pairs	No			Anaerobic	Aquatic	Mesophilic	No	
33371	Bacteria	Other_Bacteria	43	-	Rod	Singles,Pairs	No	No		Anaerobic	Aquatic	Mesophilic	No	
12390	Bacteria	Firmicutes	59.5	-	Rod			Yes		Anaerobic	Specialized	Thermophilic	No	
42371	Bacteria	Firmicutes		+	Rod		Yes			Facultative		Mesophilic		
43503	Bacteria	Actinobacteria		+	Filament			No		Aerobic	Terrestrial	Mesophilic		
46889	Bacteria	Actinobacteria		+	Filament					Aerobic		Mesophilic		
60885	Bacteria	Actinobacteria												
63351	Bacteria	Actinobacteria												
43355	Bacteria	Cyanobacteria			Filament			Yes		Aerobic	Aquatic	Mesophilic	No	
30803	Bacteria	Cyanobacteria			Filaments			Yes		Aerobic	Multiple		No	
10642	Bacteria	Cyanobacteria	41.4		Filament	Singles,Filaments		Yes		Aerobic	Multiple		No	
33123	Bacteria	Other_Bacteria	46.4		Rod		No	Yes		Anaerobic		Mesophilic		
53351	Bacteria	Other_Bacteria												
13007	Bacteria	Other_Bacteria		+	Rod			Yes	Non-halophilic	Anaerobic	Aquatic	Thermophilic	No	None
52027	Bacteria	Firmicutes												
30747	Bacteria	Firmicutes	29.6	+	Cocci	Pairs,Tetrads,Chains		No		Anaerobic	Host-associated	Mesophilic		
30951	Bacteria	Firmicutes	34.9	+	Cocci	Pairs,Tetrads,Chains		No		Anaerobic	Host-associated	Mesophilic	Human	
52025	Bacteria	Firmicutes												
29533	Bacteria	Firmicutes	35.6	+	Coccus		No	No		Anaerobic	Host-associated	Mesophilic	Yes	Opportunistic_infections
31433	Bacteria	Firmicutes	34.1	+	Coccus	Pairs	No	No		Anaerobic	Host-associated	Mesophilic		
38727	Bacteria	Firmicutes	28.9	+	Coccus	Pairs	No	No		Anaerobic	Host-associated	Mesophilic		
19657	Bacteria	Firmicutes	33.3	+	Rod		No			Anaerobic	Host-associated	Mesophilic	No	None
52103	Bacteria	Firmicutes		+							Host-associated	Mesophilic		
